Timestamp	Rect_id	Rect_x	Rect_y	Rect_W	Rect_H	Meter_X	Meter_Y	Meter_Z	Top	Height	Distance
1455277534.651942484	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	19.4822
1455277534.685584299	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277534.719100468	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277534.752616398	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277534.786132328	0	58	161	47	154	-1841.08	14.9727	4447.06	591.423	1152.9	19.4822
1455277534.819522373	0	58	161	47	154	-1841.08	14.9727	4447.06	591.423	1152.9	0
1455277534.853038542	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	19.4822
1455277534.886680357	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277534.920070402	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277534.953712456	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277534.987102501	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277535.020744316	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277535.054260485	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277535.087784044	0	58	161	47	154	-1821.6	14.8143	4400	585.165	1140.7	0
1455277528.217337124	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	48.7058
1455277528.250596277	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	0
1455277528.284111254	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	0
1455277528.317627422	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	0
1455277528.351029150	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	0
1455277528.384545080	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	0
1455277528.418061249	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	0
1455277528.451270096	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	0
1455277528.484786026	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	19.4822
1455277528.518294804	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	0
1455277528.551647417	0	58	161	47	154	-1772.89	14.4182	4282.35	569.518	1110.2	19.4822
1455277528.585163347	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	19.4822
1455277528.618534081	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	0
1455277528.618534081	1	549	172	90	184	0	0	0	0	0	0
1455277528.652050249	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	0
1455277528.652050249	1	549	172	90	184	0	0	0	0	0	0
1455277528.685566179	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	0
1455277528.685566179	1	545	172	62	179	0	0	0	0	0	0
1455277528.719071142	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	0
1455277528.719071142	1	585	194	46	162	0	0	0	0	0	0
1455277528.752587072	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	0
1455277528.752587072	1	581	193	48	163	0	0	0	0	0	0
1455277528.786114208	0	58	161	47	154	-1792.37	14.5766	4329.41	575.777	1122.4	0
1455277528.786114208	1	488	172	139	223	0	0	0	0	0	0
